date,position,song,artist,popularity,duration_ms,album_type,total_tracks,is_explicit,album_cover_url
2024-01-01,1,Wildflower Names,The Lantern Club feat. Nova Reyes,100.0,178107,Album,11,True,https://cdn.example.com/covers/144.jpg
2024-01-01,2,Faded Rivers,Saint Avery,100.0,216418,Album,15,False,https://cdn.example.com/covers/033.jpg
2024-01-01,3,Bitter Engines,Ruben Castellanos,100.0,183774,Album,18,False,https://cdn.example.com/covers/009.jpg
2024-01-01,4,Bitter Machines,Dust & Ember,100.0,218931,Single,1,False,https://cdn.example.com/covers/011.jpg
2024-01-01,5,Wildflower Signals,Dust & Ember,100.0,277579,Single,1,True,https://cdn.example.com/covers/146.jpg
2024-01-01,6,Ashen Rooms,Saint Avery feat. The Paper Kites Co.,100.0,221034,Album,20,True,https://cdn.example.com/covers/006.jpg
2024-01-01,7,Ashen Engines,Nova Reyes feat. Omar Diallo,100.0,213798,Single,1,True,https://cdn.example.com/covers/001.jpg
2024-01-01,8,Static Bones,Milo & The Tides,100.0,128236,Album,19,False,https://cdn.example.com/covers/109.jpg
2024-01-01,9,Sunlit Machines,Saint Avery feat. Deja Monroe,100.0,223896,Single,1,False,https://cdn.example.com/covers/127.jpg
2024-01-01,10,Faded Lines,Omar Diallo,94.0,213467,Album,10,True,https://cdn.example.com/covers/031.jpg
2024-01-01,11,Velvet Daylight,Bea Whitlock,94.0,214069,Album,6,True,https://cdn.example.com/covers/132.jpg
2024-01-01,12,Neon Wires,Deja Monroe feat. Milo & The Tides,98.0,189317,Album,20,False,https://cdn.example.com/covers/080.jpg
2024-01-01,13,Ashen Names,The Lantern Club,99.0,184103,Album,11,False,https://cdn.example.com/covers/005.jpg
2024-01-01,14,Faded Promises,The Paper Kites Co.,100.0,216898,Album,11,False,https://cdn.example.com/covers/032.jpg
2024-01-01,15,Ivory Letters,Saint Avery,93.0,230277,Single,1,False,https://cdn.example.com/covers/057.jpg
2024-01-01,16,Paper Rivers,Lorna Sky,95.0,245886,Album,12,False,https://cdn.example.com/covers/086.jpg
2024-01-01,17,Midnight Crowns,Jaxon Frey,95.0,210662,Album,13,True,https://cdn.example.com/covers/067.jpg
2024-01-01,18,Electric Weather,Dust & Ember feat. Milo & The Tides,92.0,135617,Album,11,False,https://cdn.example.com/covers/025.jpg
2024-01-01,19,Static Ghosts,Ruben Castellanos,94.0,214720,Single,1,False,https://cdn.example.com/covers/111.jpg
2024-01-01,20,Sunlit Crowns,Kira Lindqvist,93.0,189400,Single,1,False,https://cdn.example.com/covers/123.jpg
2024-01-01,21,Silver Bones,Saint Avery feat. Trey Nakamura,93.0,242348,Single,1,True,https://cdn.example.com/covers/102.jpg
2024-01-01,22,Faded Bones,Kira Lindqvist,88.0,205265,Single,1,True,https://cdn.example.com/covers/027.jpg
2024-01-01,23,Hollow Promises,Velvet Static,82.0,137625,Single,1,True,https://cdn.example.com/covers/050.jpg
2024-01-01,24,Golden Rivers,Bea Whitlock,94.0,215953,Single,1,False,https://cdn.example.com/covers/044.jpg
2024-01-01,25,Wildflower Engines,Priya Anand,91.0,211866,Album,20,False,https://cdn.example.com/covers/141.jpg
2024-01-01,26,Quiet Promises,Deja Monroe,87.0,172131,Album,16,False,https://cdn.example.com/covers/091.jpg
2024-01-01,27,Hollow Vices,Bea Whitlock,90.0,173530,Album,17,False,https://cdn.example.com/covers/053.jpg
2024-01-01,28,Restless Rivers,The Lantern Club,90.0,228103,Single,1,False,https://cdn.example.com/covers/099.jpg
2024-01-01,29,Faded Crowns,Jaxon Frey,88.0,146551,Album,17,True,https://cdn.example.com/covers/029.jpg
2024-01-01,30,Ivory Hours,Deja Monroe,89.0,236456,Album,12,False,https://cdn.example.com/covers/056.jpg
2024-01-01,31,Ivory Summers,Saint Avery,86.0,277100,Album,17,True,https://cdn.example.com/covers/058.jpg
2024-01-01,32,Lonely Machines,  LORNA SKY,80.0,254785,Single,1,True,https://cdn.example.com/covers/062.jpg
2024-01-01,33,Paper Cities,Velvet Static,83.0,195370,Album,16,False,https://cdn.example.com/covers/081.jpg
2024-01-01,34,Ashen Bones,Milo & The Tides feat. Omar Diallo,85.0,143025,Single,1,False,https://cdn.example.com/covers/000.jpg
2024-01-01,35,Lonely Names,Saint Avery,82.0,240634,Album,18,False,https://cdn.example.com/covers/063.jpg
2024-01-01,36,Quiet Cities,Halcyon Youth,79.0,190645,Album,11,True,https://cdn.example.com/covers/088.jpg
2024-01-01,37,Lonely Lines,Omar Diallo,82.0,164735,Single,1,False,https://cdn.example.com/covers/061.jpg
2024-01-01,38,Hollow Names,Milo & The Tides,76.0,205579,Single,1,True,https://cdn.example.com/covers/049.jpg
2024-01-01,39,Electric Wires,Trey Nakamura feat. Deja Monroe,82.0,227637,Album,16,False,https://cdn.example.com/covers/026.jpg
2024-01-01,40,Lonely Summers,Saint Avery,76.0,259426,Album,18,True,https://cdn.example.com/covers/065.jpg
